,open,high,low,close,volume
2024-10-18 19:59:00,232.31,232.31,232.31,232.31,1
2024-10-18 19:56:00,232.31,232.31,232.31,232.31,5
2024-10-18 19:54:00,232.37,232.4,232.37,232.4,202
2024-10-18 19:50:00,232.3,232.3,232.3,232.3,5
2024-10-18 19:46:00,232.34,232.34,232.3,232.3,5
2024-10-18 19:45:00,232.4,232.4,232.4,232.4,20
2024-10-18 19:43:00,232.4,232.4,232.4,232.4,25
2024-10-18 19:33:00,232.3987,232.3987,232.3987,232.3987,1
2024-10-18 19:32:00,232.28,232.28,232.28,232.28,25
2024-10-18 19:14:00,232.4,232.4,232.21,232.21,75
2024-10-18 19:12:00,232.4,232.4,232.4,232.4,50
2024-10-18 19:07:00,232.36,232.36,232.36,232.36,2
2024-10-18 19:04:00,232.4,232.4,232.39,232.39,133
2024-10-18 19:00:00,232.2,232.2,232.2,232.2,1456940
2024-10-18 18:57:00,232.35,232.35,232.35,232.35,3
2024-10-18 18:56:00,232.35,232.35,232.35,232.35,25
2024-10-18 18:46:00,232.4497,232.4497,232.4497,232.4497,100
2024-10-18 18:45:00,232.4,232.4,232.4,232.4,1
2024-10-18 18:33:00,232.44,232.44,232.44,232.44,25
2024-10-18 18:30:00,232.2,232.2,232.2,232.2,1456940
2024-10-18 18:28:00,232.21,232.21,232.21,232.21,50
2024-10-18 18:17:00,232.47,232.5,232.45,232.45,1096
2024-10-18 18:16:00,232.47,232.47,232.47,232.47,55
2024-10-18 18:15:00,232.46,232.47,232.46,232.47,65
2024-10-18 18:09:00,232.47,232.47,232.47,232.47,6
2024-10-18 17:59:00,232.47,232.47,232.25,232.25,5
2024-10-18 17:50:00,232.4,232.4,232.4,232.4,1
2024-10-18 17:49:00,232.4,232.4,232.4,232.4,2
2024-10-18 17:27:00,232.2,232.2,232.2,232.2,1
2024-10-18 17:26:00,232.47,232.47,232.47,232.47,2
2024-10-18 17:25:00,232.466,232.466,232.25,232.25,7
2024-10-18 17:20:00,232.47,232.47,232.47,232.47,2
2024-10-18 17:18:00,232.25,232.25,232.25,232.25,10
2024-10-18 17:17:00,232.48,232.48,232.48,232.48,2
2024-10-18 17:16:00,232.2,232.2,232.2,232.2,3300
2024-10-18 17:12:00,232.2,232.2,232.2,232.2,50
2024-10-18 17:00:00,232.5,232.5,232.2,232.2,19
2024-10-18 16:59:00,232.5,232.5,232.5,232.5,25
2024-10-18 16:58:00,232.5,232.5,232.5,232.5,2
2024-10-18 16:55:00,232.5,232.5,232.4,232.4,51
2024-10-18 16:54:00,232.41,232.41,232.4,232.4,600
2024-10-18 16:53:00,233.0,233.0,233.0,233.0,1
2024-10-18 16:50:00,232.21,232.21,232.21,232.21,2
2024-10-18 16:48:00,232.75,232.8,232.75,232.8,7
2024-10-18 16:47:00,232.88,232.88,232.88,232.88,1
2024-10-18 16:46:00,232.22,232.22,232.2,232.2,51
2024-10-18 16:44:00,232.2,232.2,232.2,232.2,2
2024-10-18 16:40:00,232.24,232.24,232.24,232.24,3
2024-10-18 16:39:00,232.5,232.5,232.2,232.2,187157
2024-10-18 16:36:00,232.6,232.72,232.51,232.72,20
2024-10-18 16:34:00,232.2,232.2,232.2,232.2,20
